Date,Heading Text,Position
2024-09-11,"Apple must pay Ireland €13bn in unpaid taxes, court rules",91
2024-09-11,Cabinet set to approve ban on sale of disposable vapes,90
2024-09-11,The breathtaking waste of batteries in disposable vapes,89
2024-09-11,Preview: Ireland can do talking on pitch in Greece game,88
2024-09-11,Republic of Ireland v Greece: All you need to know,87
2024-09-11,Israeli strike kills 40 people in Gaza humanitarian zone,86
2024-09-11,Alleged attacker of Ugandan Olympian dies in hospital,85
2024-09-11,EU court upholds Google's €2.4 billion EU antitrust fine,84
2024-09-11,Seanad voting rights to be extended to all graduates,83
2024-09-11,What would a Trump presidency mean for international relations?,82
2024-09-11,"Star Wars, Lion King actor James Earl Jones dies at 93",81
2024-09-11,George Lucas leads tributes to James Earl Jones,80
2024-09-11,Harris arrives in Pennsylvania for crucial Trump clash,79
2024-09-11,3 things you can clean in the home with a lemon,78
2024-09-11,What it says in the papers,77
2024-09-11,"Mawdsley wins in Switzerland, McCann sets new PB",76
2024-09-11,"Inner City Festival of Community Arts takes place in Dublin, 1979",75
2024-09-11,Australia plans social media minimum age limit,74
2024-09-11,Vaping 'the revenge of the tobacco industry' - Harris,73
2024-09-11,Vaping 'the revenge of the tobacco industry' - Harris,72
2024-09-11,Israeli strike kills 40 people in Gaza humanitarian zone,71
2024-09-11,Work to identify historic shipwrecks on Portmarnock beach,70
2024-09-11,"Princess of Wales finishes chemotherapy, hopes to 'stay cancer free'",69
2024-09-11,'He came at me with the knife' - Gardaí awarded medals for bravery,68
2024-09-11,How old will you be before you own a home of your own?,67
2024-09-11,Scotland's 'Sphinx' snow patch is vanishing,66
2024-09-11,Fair City celebrates 35 years with explosive promo,65
2024-09-11,Kasey McAteer reflects on 'dream' debut,64
2024-09-11,Typhoon Yagi leaves dozens dead in Vietnam,63
2024-09-11,The Late Late Show: Landing 13 Sept | RTÉ One & RTÉ Player,62
2024-09-11,Trump 'very offended' by Putin's support of Harris,61
2024-09-11,Heimir Hallgrimsson: Ireland lacked confidence and initiative,60
2024-09-11,Paris 2024: Britney Arendse happy after three PBs and fourth place,59
