Date,Headline,Negative,Neutral,Positive,Compound,Overall Sentiment
2024-09-09,Man in late teens arrested over fatal Dublin hit-and-run,0.485,0.515,0.0,-0.765,Negative
2024-09-09,Guildford bombing to be among first legacy investigations,0.0,1.0,0.0,0.0,Neutral
2024-09-09,Israeli strikes on Syria kill at least 16 - state media,0.444,0.556,0.0,-0.802,Negative
2024-09-09,Team Ireland Paralympic athletes due to return home,0.0,1.0,0.0,0.0,Neutral
2024-09-09,Swimmer Registe subjected to racist abuse during Games,0.577,0.423,0.0,-0.8481,Negative
2024-09-09,Kelleher: Departure from Liverpool out of my hands,0.0,1.0,0.0,0.0,Neutral
2024-09-09,New boy McAteer hungry for more after 'dream' debut,0.0,0.778,0.222,0.3134,Positive
2024-09-09,"Draghi urges reform, investment drive to revive EU",0.0,0.745,0.255,0.34,Positive
2024-09-09,The growing online threats to sabotage elections,0.521,0.336,0.143,-0.6705,Negative
2024-09-09,Eight Scott medals to be awarded to gardaí for bravery,0.0,0.576,0.424,0.7096,Positive
2024-09-09,Noel Gallagher thrilled to be added to London gallery,0.0,0.734,0.266,0.4404,Positive
2024-09-09,Work to identify origins of historic shipwrecks on Portmarnock beach,0.0,1.0,0.0,0.0,Neutral
2024-09-09,Volvo latest car company to row back on EV plans,0.0,1.0,0.0,0.0,Neutral
2024-09-09,Irish employers least likely to use AI - global survey,0.0,1.0,0.0,0.0,Neutral
2024-09-09,Ogbene: England was always going to be a difficult game,0.217,0.783,0.0,-0.3612,Negative
2024-09-09,Here's what your skin might be saying about your health,0.0,1.0,0.0,0.0,Neutral
2024-09-09,Decision on Casement Park funding expected this week,0.0,1.0,0.0,0.0,Neutral
2024-09-09,"Foras na Gaeilge launches Ireland's first bilingual website, 2004",0.0,1.0,0.0,0.0,Neutral
2024-09-09,Schmidt feeling the heat after cold Wallabies start,0.0,0.824,0.176,0.128,Positive
2024-09-09,Work to identify historic shipwrecks on Portmarnock beach,0.0,1.0,0.0,0.0,Neutral
2024-09-09,Work to identify historic shipwrecks on Portmarnock beach,0.0,1.0,0.0,0.0,Neutral
